City,Country,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
Nosivka,UA,1592928177,72.61,80,86,50.93,31.58,3.53
Comodoro Rivadavia,AR,1592928069,46.4,100,61,-45.87,-67.5,8.05
Aswān,EG,1592928089,107.89,0,7,24.09,32.91,10.89
Anandnagar,IN,1592928177,87.71,31,64,27.1,83.28,9.28
Peniche,PT,1592928177,73.0,7,84,39.36,-9.38,11.01
Sur,OM,1592927975,82.99,2,82,22.57,59.53,5.66
Musoma,TZ,1592928178,78.8,20,65,-1.5,33.8,11.41
Coyhaique,CL,1592928093,28.4,90,100,-45.58,-72.07,1.12
Monchegorsk,RU,1592928178,56.82,93,38,67.94,32.87,7.52
Wamba,NG,1592928178,83.7,47,64,8.93,8.6,4.32
Linxia Chengguanzhen,CN,1592928178,57.58,0,63,35.6,103.21,3.27
Yangjiang,CN,1592928178,81.45,93,93,21.85,111.97,6.58
Mayya,RU,1592928178,59.0,95,72,61.73,130.28,4.47
Prince Rupert,CA,1592928044,53.6,90,87,54.32,-130.32,2.24
Quesnel,CA,1592928027,53.6,90,100,53.0,-122.5,3.36
Manadhoo,MV,1592928178,84.02,96,79,5.77,73.38,11.68
Mahon,ES,1592928178,82.4,20,51,39.89,4.27,6.93
Dhārchula,IN,1592928178,71.22,78,73,29.85,80.53,0.51
Half Moon Bay,US,1592928045,64.99,90,82,37.46,-122.43,4.7
Taltal,CL,1592928051,62.19,99,66,-25.4,-70.48,3.65
San Fernando del Valle de Catamarca,AR,1592928179,62.01,89,76,-28.47,-65.79,1.01
Shimanovsk,RU,1592928179,55.27,100,88,52.0,127.7,5.06
Eskişehir,TR,1592927850,64.4,75,72,39.78,30.52,13.87
Cockburn Town,TC,1592928179,83.01,84,77,21.46,-71.14,14.97
Leningradskiy,RU,1592928055,32.11,100,97,69.38,178.42,16.17
Taoudenni,ML,1592928179,113.23,35,6,22.68,-3.98,19.71
Bloomingdale,US,1592927984,91.99,75,70,27.89,-82.24,7.25
Margate,GB,1592928179,79.0,0,50,51.38,1.39,3.0
Yantal',RU,1592928179,57.83,0,85,56.85,105.25,2.1
Morón,AR,1592928179,55.99,100,98,-34.65,-58.62,3.0
Isangel,VU,1592928036,75.2,75,83,-19.55,169.27,10.16
Salalah,OM,1592928060,84.2,40,89,17.02,54.09,2.24
Vancouver,CA,1592928172,64.0,75,88,49.25,-123.12,4.7
Baie-Saint-Paul,CA,1592927966,85.03,22,50,47.44,-70.5,7.56
Shache,CN,1592928087,81.01,100,25,38.42,77.24,29.68
Itupiranga,BR,1592928180,91.4,6,41,-5.13,-49.33,4.7
Vaxjo,SE,1592928180,73.99,76,68,56.88,14.81,3.36
Galway,IE,1592927891,62.6,75,88,53.27,-9.05,9.17
Kamenka,RU,1592928061,67.15,76,79,51.32,42.77,7.05
Gamba,GA,1592928089,75.25,84,78,-2.65,10.0,10.16
Xico,MX,1592928180,69.01,90,59,19.27,-98.93,1.25
Bayangol,RU,1592928180,47.17,50,88,50.7,103.47,4.45
Ola,RU,1592928180,46.02,98,91,59.58,151.28,3.2
Pimenta Bueno,BR,1592928140,89.11,0,47,-11.67,-61.19,3.74
Kautokeino,NO,1592928181,69.58,69,47,69.01,23.04,8.59
Isiro,CD,1592928181,77.4,82,72,2.77,27.62,1.57
Bell Ville,AR,1592928181,51.01,100,96,-32.63,-62.69,5.01
Onega,RU,1592928181,52.72,0,51,63.91,38.14,10.09
Cambridge,CA,1592928109,71.01,90,94,43.36,-80.31,12.75
Waddān,LY,1592928181,91.47,0,17,29.16,16.14,14.16
Starozhilovo,RU,1592928182,57.99,100,97,54.23,39.92,3.0
Yulara,AU,1592928039,44.6,0,48,-25.24,130.99,3.36
Poltavka,RU,1592928182,51.85,89,90,54.37,71.76,8.08
Okhotsk,RU,1592928097,43.14,5,94,59.38,143.3,7.67
Susner,IN,1592928182,80.33,100,70,23.95,76.08,11.27
Oeiras,BR,1592928182,91.92,0,37,-7.03,-42.13,10.31
Portland,US,1592928348,71.01,20,59,45.52,-122.68,3.36
Casma,CL,1592928182,44.6,75,93,-41.01,-73.12,8.05
Tocopilla,CL,1592928182,66.0,16,54,-22.09,-70.2,5.55
Mil'kovo,RU,1592928182,53.58,67,90,54.72,158.62,1.77
Banda Aceh,ID,1592928183,81.3,100,74,5.56,95.32,9.06
Westport,US,1592927823,86.0,20,83,41.14,-73.36,12.75
Mossamedes,AO,1592928039,75.2,20,78,-15.2,12.15,14.99
Krasnorechenskiy,RU,1592928183,52.38,100,92,44.63,135.35,2.8
Kangaatsiaq,GL,1592928053,39.38,6,83,68.31,-53.46,8.21
Ostrovnoy,RU,1592928041,41.09,94,69,68.05,39.51,16.06
Marrakesh,MA,1592927920,89.6,20,35,31.63,-8.01,5.82
Aden,YE,1592928027,88.81,13,68,12.78,45.04,4.52
Mahibadhoo,MV,1592928183,84.18,100,78,3.78,72.97,11.95
Hofn,IS,1592928047,51.33,85,77,64.25,-15.21,9.95
Broome,US,1592928053,80.01,75,73,42.25,-75.83,10.29
Diamantino,BR,1592928183,88.63,0,30,-14.41,-56.45,7.65
Sioux Lookout,CA,1592928183,64.4,20,52,50.1,-91.92,6.93
Sovetskiy,RU,1592928184,54.46,52,75,61.36,63.58,1.83
Hirara,JP,1592928184,84.34,100,82,24.8,125.28,4.36
Lisala,CD,1592928184,81.09,84,71,2.15,21.52,2.04
Alta,NO,1592928184,64.4,40,52,69.97,23.27,9.17
Hayden,US,1592928073,70.0,1,68,47.77,-116.79,5.82
Korsakov,RU,1592928184,48.2,90,93,46.63,142.78,11.18
Brockville,CA,1592927996,82.99,75,65,44.58,-75.68,9.17
Laguna,US,1592928040,71.01,1,72,38.42,-121.42,5.82
Båtsfjord,NO,1592928184,44.6,0,75,70.63,29.72,13.87
Deputatsky,RU,1592928185,61.92,29,76,69.3,139.9,1.14
Saurimo,AO,1592928185,84.2,0,26,-9.66,20.39,3.11
Tuburan,PH,1592928185,78.8,75,94,6.64,122.27,5.3
Rome,US,1592928185,84.99,75,54,43.21,-75.46,10.29
Asău,RO,1592928049,69.01,24,80,46.43,26.4,2.71
Port Moresby,PG,1592928040,74.97,49,92,-9.44,147.18,6.49
Victoria Point,AU,1592928185,55.99,0,52,-27.58,153.3,12.01
Grand Gaube,MU,1592928185,71.01,4,77,-20.01,57.66,3.0
Zahir Pir,PK,1592928185,105.51,1,17,28.81,70.52,8.88
Jalu,LY,1592928055,93.97,0,20,29.03,21.55,13.51
Akālgarh,IN,1592928186,97.61,0,33,29.82,75.88,15.61
Ballina,AU,1592928081,51.8,0,62,-28.87,153.57,8.05
Buraidah,SA,1592928047,100.4,11,10,26.33,43.98,20.8
Morena,IN,1592928186,93.33,17,47,26.5,78.0,6.67
Tongchuanshi,CN,1592928186,71.71,1,69,35.08,109.09,1.81
Apahida,RO,1592928186,75.2,20,64,46.82,23.75,16.11
Cabedelo,BR,1592928060,84.2,40,62,-6.98,-34.83,13.87
Manjacaze,MZ,1592928186,63.1,0,84,-24.71,33.88,4.83
Tulagi,SB,1592928186,75.2,40,94,-9.1,160.15,3.36
Kontagora,NG,1592928186,86.88,37,56,10.4,5.47,5.7
Paamiut,GL,1592928089,40.1,25,79,61.99,-49.67,20.47
Teya,RU,1592928187,64.24,87,56,60.38,92.63,1.72
Kupang,ID,1592928064,75.33,0,73,-10.17,123.58,11.97
Flin Flon,CA,1592928187,73.4,20,43,54.77,-101.86,2.24
Ambilobe,MG,1592928077,72.93,0,81,-13.2,49.05,1.88
Astorga,BR,1592927945,75.2,75,53,-23.23,-51.67,11.41
North Bend,US,1592927834,64.0,1,87,43.41,-124.22,6.76
Concordia,AR,1592928003,72.0,75,88,-31.39,-58.02,6.93
Iquitos,PE,1592928037,78.8,75,88,-3.75,-73.25,3.36
Fare,PF,1592928051,79.12,42,75,-16.7,-151.02,16.96
Huilong,CN,1592928187,75.99,100,96,31.81,121.66,8.95
Zauralskiy,RU,1592928187,66.2,20,42,54.79,61.24,4.47
Manokwari,ID,1592928088,79.3,78,77,-0.87,134.08,5.14
Tahe,CN,1592928188,50.27,100,92,52.33,124.73,0.89
Sergeevka,KZ,1592928188,55.02,39,71,53.88,67.42,6.82
Arys,KZ,1592928188,86.0,75,12,42.43,68.8,5.95
Sal Rei,CV,1592928188,87.8,0,52,16.18,-22.92,18.34
Mananjary,MG,1592928188,70.66,83,90,-21.22,48.33,7.07
Lidzbark Warmiński,PL,1592928188,62.2,97,86,54.13,20.58,10.49
Port Hedland,AU,1592928081,62.6,0,63,-20.32,118.57,5.82
Wuning,CN,1592928188,78.82,100,88,29.26,120.23,0.76
Rach Gia,VN,1592928188,83.05,86,80,10.02,105.08,7.63
Yatou,CN,1592928189,68.27,100,94,37.15,122.38,26.35
Baiyin,CN,1592928189,71.01,13,42,36.56,104.21,2.24
Miraflores,MX,1592928068,66.2,90,59,19.22,-98.81,1.21
Longkou,CN,1592928189,70.25,100,90,37.65,120.33,19.51
Khairpur Nathan Shah,PK,1592928189,104.59,0,22,27.09,67.73,12.5
Marawi,PH,1592928189,77.0,91,89,8.0,124.29,3.0
Banikoara,BJ,1592928189,98.29,24,28,11.3,2.44,5.7
Bahía Blanca,AR,1592928047,56.61,65,46,-38.72,-62.27,11.41
Jiaozuo,CN,1592928189,74.26,45,67,35.24,113.23,4.29
Millinocket,US,1592928189,82.4,1,58,45.66,-68.71,5.82
Binzhou,CN,1592928189,70.14,100,84,37.37,118.02,8.23
Griffith,US,1592928173,70.0,75,68,41.53,-87.42,11.41
Acapulco de Juárez,MX,1592928136,86.0,75,70,16.86,-99.89,6.93
Katsuura,JP,1592928051,73.0,75,100,35.13,140.3,4.7
Inyonga,TZ,1592928190,73.4,0,41,-6.72,32.07,2.62
Russellville,US,1592928190,82.0,1,74,35.28,-93.13,6.93
Qaqortoq,GL,1592928190,59.0,20,54,60.72,-46.03,8.05
Longyan,CN,1592928190,78.17,100,83,25.11,117.02,3.38
Qandala,SO,1592928190,90.39,1,56,11.47,49.87,2.35
Caconda,AO,1592928190,70.7,15,24,-13.73,15.07,2.86
Kloulklubed,PW,1592928190,78.8,90,94,7.04,134.26,8.14
Okato,NZ,1592928191,46.99,31,83,-39.2,173.88,8.01
Alofi,NU,1592928042,68.0,39,100,-19.06,-169.92,2.24
Jining,CN,1592928191,68.92,77,92,35.41,116.58,5.77
Poninka,UA,1592928191,72.63,97,86,50.18,27.54,2.77
Mattru,SL,1592928191,81.07,65,86,7.62,-11.83,5.23
Ridgecrest,US,1592928191,82.4,1,28,35.62,-117.67,4.7
Emba,KZ,1592928191,71.13,0,30,48.83,58.14,7.49
Arcata,US,1592928191,64.99,1,93,40.87,-124.08,8.05
Fort Frances,CA,1592928097,69.8,20,52,48.6,-93.4,11.41
Clarence Town,AU,1592928192,52.0,0,81,-32.58,151.78,21.92
Poronaysk,RU,1592928192,46.36,100,97,49.22,143.12,3.49
Rānībennur,IN,1592928192,78.46,91,65,14.62,75.62,12.17
Santa Isabel,BR,1592928075,73.4,100,46,-23.32,-46.22,9.17
Hitoyoshi,JP,1592928192,67.8,90,84,32.22,130.75,1.77
Mango,US,1592928192,91.99,75,70,27.98,-82.31,8.37
Quatre Cocos,MU,1592928058,71.6,40,83,-20.21,57.76,8.05
Gizo Government Station,SB,1592928192,81.45,81,76,-8.1,156.84,8.05
Tambopata,PE,1592928192,80.6,40,74,-12.73,-69.18,4.7
Rabo de Peixe,PT,1592928192,66.2,75,88,37.8,-25.58,10.29
Saraland,US,1592928193,88.0,54,74,30.82,-88.07,1.99
Waingapu,ID,1592928193,74.28,43,73,-9.66,120.26,11.32
Guánica,PR,1592928193,88.0,11,58,17.97,-66.91,3.0
Dibrugarh,IN,1592928193,79.9,94,89,27.48,94.9,3.31
Virginia Beach,US,1592927957,89.01,12,65,36.85,-75.98,3.0
Catió,GW,1592928193,88.27,78,61,11.28,-15.25,9.57
Denpasar,ID,1592928071,80.6,75,100,-8.65,115.22,8.05
Harper,LR,1592928193,79.38,48,76,4.38,-7.72,12.19
Mujiayingzi,CN,1592928193,67.01,48,75,42.12,118.78,0.85
Gravdal,NO,1592928097,64.4,20,68,68.12,13.5,6.93
Farmington,US,1592928118,75.2,1,25,36.73,-108.22,6.93
Indian Head,US,1592928194,86.0,75,78,38.6,-77.16,6.11
Grindavik,IS,1592928054,51.8,75,71,63.84,-22.43,14.99
Egvekinot,RU,1592928063,36.18,97,92,66.32,-179.17,1.86
Nago,JP,1592928194,80.6,90,94,26.59,127.98,5.82
Shingū,JP,1592928045,66.7,54,86,33.73,135.98,4.09
Srandakan,ID,1592927849,77.76,100,85,-7.94,110.25,9.71
